batter_id,year,avg_daily_avg,std_daily_avg,games_count,total_H,total_AB,total_HR,CV,season_avg
0,2018,0.31466666666666665,0.28074326357964763,50,62,183,8,0.8921925749353209,0.33879781420765026
1,2014,0.22175925925925927,0.2985100419582427,36,19,86,1,1.3460995629014703,0.22093023255813954
1,2015,0.2320388349514563,0.27267225692597385,103,80,311,2,1.175114747421561,0.2572347266881029
1,2016,0.13603603603603603,0.19402786779261066,37,16,101,1,1.4262975711907142,0.15841584158415842
1,2017,0.2065891472868217,0.34951098746048714,43,18,84,0,1.6918167873321892,0.21428571428571427
1,2018,0.25730593607305935,0.27196680621614366,73,68,245,5,1.0569783595622975,0.27755102040816326
4,2005,0.2093189964157706,0.28852304186310385,93,52,214,2,1.3783891897227052,0.24299065420560748
4,2006,0.25092592592592594,0.2394651963165286,126,103,410,9,0.954326243623066,0.25121951219512195
4,2007,0.27266666666666667,0.25824573610236773,125,112,413,14,0.9471115015979257,0.2711864406779661
4,2008,0.28920765027322404,0.2406175301741826,122,127,435,19,0.8319888147732719,0.29195402298850576
4,2009,0.2621951219512195,0.30408793197645323,82,68,262,9,1.1597772289334496,0.2595419847328244
4,2010,0.30145730706075535,0.2576409506752089,116,125,410,23,0.8546515365218341,0.3048780487804878
4,2011,0.287940379403794,0.2559519252464759,123,130,450,19,0.8889059803854081,0.28888888888888886
4,2012,0.25997150997151,0.24630467991880178,117,109,400,19,0.9474295085095827,0.2725
4,2013,0.21278317152103557,0.22959426991370377,103,77,327,11,1.0790057703929197,0.23547400611620795
4,2014,0.20304659498207886,0.2304551555578291,93,71,310,16,1.134986556057093,0.22903225806451613
4,2015,0.29366391184573,0.287697244724341,121,118,380,35,0.9796819871945197,0.3105263157894737
4,2016,0.30745614035087715,0.28007489609062225,114,123,381,20,0.9109426006941781,0.3228346456692913
4,2017,0.28578811369509044,0.25953267275175107,129,130,456,22,0.908129695795006,0.2850877192982456
4,2018,0.2648293963254593,0.2736698498424187,127,115,427,22,1.0333816926656247,0.2693208430913349
5,2018,0.278743961352657,0.24697495133176675,138,153,527,29,0.8860279883132707,0.2903225806451613
9,2017,0.25699588477366253,0.2889620337125583,81,62,248,5,1.1243838941897786,0.25
9,2018,0.2390547263681592,0.3012257819429156,67,47,184,3,1.2600703885645377,0.2554347826086957
11,2018,0.20811965811965813,0.3271101490822756,39,16,68,0,1.5717407573973816,0.23529411764705882
12,2014,0.26187214611872145,0.3069347591741797,73,55,208,0,1.1720786793224998,0.2644230769230769
12,2015,0.20381526104417672,0.23648173957368077,83,54,264,0,1.1602749389920495,0.20454545454545456
12,2016,0.273859649122807,0.2912195420977774,95,81,298,0,1.0633897437266695,0.27181208053691275
12,2017,0.288,0.26189959497766,125,125,412,0,0.9093735936724306,0.30339805825242716
12,2018,0.24217171717171715,0.2717342168176186,66,50,193,0,1.1220724698621165,0.25906735751295334
18,2011,0.2495934959349594,0.32733112280478244,41,26,105,1,1.3114569415305615,0.24761904761904763
