batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS,height,weight,BMI,birth_year,age,position_group,career_years,career_group,HR_per_AB,batter_type,CV,std_daily_avg,games_count,consistency_level
0,가르시아,2018,LG,0.339,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.902,177.0,93.0,29.68495643014459,1985.0,34.0,내야수,1,5년차 이하,0.0437158469945355,장타형,0.8921925749353209,0.2807432635796476,50,안정
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6729999999999999,180.0,72.0,22.22222222222222,1992.0,24.0,내야수,8,6년차 이상,0.0064308681672025,안타형,1.175114747421561,0.2726722569259738,103,불안정
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.232,7,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.489,180.0,72.0,22.22222222222222,1992.0,25.0,내야수,8,6년차 이상,0.0099009900990099,안타형,1.4262975711907142,0.1940278677926106,37,매우 불안정
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.774,180.0,72.0,22.22222222222222,1992.0,27.0,내야수,8,6년차 이상,0.0204081632653061,안타형,1.0569783595622977,0.2719668062161436,73,불안정
4,강민호,2005,롯데,0.243,104,214,20,52,11,2,2,73,18,1,4,5,2,56,7,0.341,0.267,9,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.6080000000000001,185.0,100.0,29.218407596785973,1985.0,21.0,포수,15,6년차 이상,0.0093457943925233,안타형,1.3783891897227052,0.2885230418631038,93,매우 불안정
4,강민호,2006,롯데,0.251,126,410,40,103,20,0,9,150,53,4,1,23,11,78,5,0.366,0.307,12,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.6729999999999999,185.0,100.0,29.218407596785973,1985.0,22.0,포수,15,6년차 이상,0.0219512195121951,안타형,0.954326243623066,0.2394651963165286,126,안정
4,강민호,2007,롯데,0.271,125,413,48,112,20,0,14,174,68,1,4,37,4,88,10,0.421,0.335,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.7559999999999999,185.0,100.0,29.218407596785973,1985.0,23.0,포수,15,6년차 이상,0.0338983050847457,장타형,0.9471115015979256,0.2582457361023677,125,안정
4,강민호,2008,롯데,0.292,122,435,51,127,25,1,19,211,82,2,4,49,7,77,13,0.485,0.365,6,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.85,185.0,100.0,29.218407596785973,1985.0,24.0,포수,15,6년차 이상,0.0436781609195402,장타형,0.8319888147732719,0.2406175301741826,122,매우 안정
4,강민호,2009,롯데,0.26,83,262,36,68,13,0,9,108,30,0,0,33,3,44,9,0.412,0.346,6,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.758,185.0,100.0,29.218407596785973,1985.0,25.0,포수,15,6년차 이상,0.0343511450381679,장타형,1.1597772289334496,0.3040879319764532,82,불안정
4,강민호,2010,롯데,0.305,117,410,66,125,19,1,23,215,72,2,7,42,8,65,16,0.524,0.376,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.9,185.0,100.0,29.218407596785973,1985.0,26.0,포수,15,6년차 이상,0.0560975609756097,장타형,0.8546515365218341,0.2576409506752089,116,매우 안정
4,강민호,2011,롯데,0.289,124,450,63,130,25,2,19,216,66,4,6,47,8,81,18,0.48,0.366,15,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.846,185.0,100.0,29.218407596785973,1985.0,27.0,포수,15,6년차 이상,0.0422222222222222,장타형,0.8889059803854081,0.2559519252464759,123,안정
4,강민호,2012,롯데,0.273,119,400,41,109,21,0,19,187,66,0,1,44,8,97,9,0.468,0.355,3,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.823,185.0,100.0,29.218407596785973,1985.0,28.0,포수,15,6년차 이상,0.0475,장타형,0.9474295085095829,0.2463046799188017,117,안정
4,강민호,2013,롯데,0.235,105,327,48,77,13,0,11,123,57,4,1,60,11,87,5,0.376,0.366,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.742,185.0,100.0,29.218407596785973,1985.0,29.0,포수,15,6년차 이상,0.0336391437308868,장타형,1.0790057703929197,0.2295942699137037,103,불안정
4,강민호,2014,롯데,0.229,98,310,37,71,14,2,16,137,40,1,2,33,13,92,6,0.442,0.325,3,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.767,185.0,100.0,29.218407596785973,1985.0,30.0,포수,15,6년차 이상,0.0516129032258064,장타형,1.134986556057093,0.2304551555578291,93,불안정
4,강민호,2015,롯데,0.311,123,380,63,118,18,1,35,243,86,0,0,60,14,112,14,0.639,0.421,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.06,185.0,100.0,29.218407596785973,1985.0,31.0,포수,15,6년차 이상,0.0921052631578947,장타형,0.9796819871945196,0.287697244724341,121,안정
4,강민호,2016,롯데,0.3229999999999999,116,381,65,123,26,0,20,209,72,4,0,66,10,91,7,0.5489999999999999,0.433,4,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.982,185.0,100.0,29.218407596785973,1985.0,32.0,포수,15,6년차 이상,0.0524934383202099,장타형,0.910942600694178,0.2800748960906222,114,안정
4,강민호,2017,롯데,0.285,130,456,62,130,22,1,22,220,68,0,2,41,15,104,15,0.482,0.361,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.843,185.0,100.0,29.218407596785973,1985.0,33.0,포수,15,6년차 이상,0.0482456140350877,장타형,0.908129695795006,0.259532672751751,129,안정
4,강민호,2018,삼성,0.269,129,427,46,115,14,0,22,195,71,0,0,29,14,96,11,0.457,0.331,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.7879999999999999,185.0,100.0,29.218407596785973,1985.0,34.0,포수,15,6년차 이상,0.0515222482435597,장타형,1.0333816926656247,0.2736698498424187,127,불안정
5,강백호,2018,KT,0.29,138,527,108,153,32,2,29,276,84,3,5,52,3,124,4,0.524,0.356,6,184cm/98kg,1999년 07월 29일,외야수(우투좌타),부천북초-이수중-서울고,45000만원,0.88,184.0,98.0,28.946124763705104,1999.0,20.0,외야수,1,5년차 이하,0.0550284629981024,장타형,0.8860279883132707,0.2469749513317667,138,안정
9,강승호,2017,LG,0.25,85,248,42,62,14,2,5,95,31,2,2,7,3,67,5,0.383,0.272,12,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.655,179.0,77.0,24.031709372366656,1994.0,24.0,내야수,3,5년차 이하,0.0201612903225806,안타형,1.1243838941897786,0.2889620337125583,81,불안정
9,강승호,2018,SK,0.255,69,184,14,47,10,0,3,66,31,1,1,18,3,57,2,0.359,0.33,11,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.6890000000000001,179.0,77.0,24.031709372366656,1994.0,25.0,내야수,3,5년차 이하,0.0163043478260869,안타형,1.2600703885645377,0.3012257819429156,67,매우 불안정
12,강한울,2014,KIA,0.264,93,208,32,55,5,4,0,68,14,4,2,8,1,44,1,0.327,0.294,11,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.621,181.0,66.0,20.1459051921492,1991.0,24.0,내야수,5,5년차 이하,0.0,안타형,1.1720786793224998,0.3069347591741797,73,불안정
12,강한울,2015,KIA,0.205,90,264,30,54,8,3,0,68,12,9,4,13,3,51,2,0.258,0.25,12,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.508,181.0,66.0,20.1459051921492,1991.0,25.0,내야수,5,5년차 이하,0.0,안타형,1.1602749389920497,0.2364817395736807,83,불안정
12,강한울,2016,KIA,0.272,104,298,36,81,13,3,0,100,27,7,3,15,0,46,2,0.336,0.307,11,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.643,181.0,66.0,20.1459051921492,1991.0,26.0,내야수,5,5년차 이하,0.0,안타형,1.0633897437266695,0.2912195420977774,95,불안정
12,강한울,2017,삼성,0.303,135,412,58,125,9,3,0,140,24,12,7,26,0,57,4,0.34,0.344,16,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.6839999999999999,181.0,66.0,20.1459051921492,1991.0,27.0,내야수,5,5년차 이하,0.0,안타형,0.9093735936724306,0.26189959497766,125,안정
12,강한울,2018,삼성,0.259,83,193,20,50,5,2,0,59,8,3,4,12,1,34,1,0.306,0.306,4,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.612,181.0,66.0,20.1459051921492,1991.0,28.0,내야수,5,5년차 이하,0.0,안타형,1.1220724698621165,0.2717342168176186,66,불안정
18,고종욱,2011,넥센,0.248,54,105,12,26,5,4,1,42,9,7,6,5,0,26,0,0.4,0.279,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.679,184.0,83.0,24.515595463137995,1989.0,23.0,외야수,8,6년차 이상,0.0095238095238095,안타형,1.3114569415305617,0.3273311228047824,41,매우 불안정
18,고종욱,2015,넥센,0.31,119,407,81,126,25,4,10,189,51,22,14,25,6,81,10,0.464,0.358,3,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.8220000000000001,184.0,83.0,24.515595463137995,1989.0,27.0,외야수,8,6년차 이상,0.0245700245700245,안타형,0.9144627210563264,0.2684042499855589,113,안정
18,고종욱,2016,넥센,0.334,133,527,92,176,22,9,8,240,72,28,14,28,5,103,10,0.455,0.37,1,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.825,184.0,83.0,24.515595463137995,1989.0,28.0,외야수,8,6년차 이상,0.0151802656546489,안타형,0.7981473877791915,0.2650489445632653,133,매우 안정
18,고종욱,2017,넥센,0.312,123,426,70,133,24,8,8,197,54,16,4,22,3,92,11,0.462,0.349,5,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.8109999999999999,184.0,83.0,24.515595463137995,1989.0,29.0,외야수,8,6년차 이상,0.0187793427230046,안타형,0.8418632304026483,0.2446737487809349,121,매우 안정
18,고종욱,2018,넥센,0.279,102,330,47,92,22,0,6,132,54,17,4,15,1,96,2,0.4,0.309,3,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.7090000000000001,184.0,83.0,24.515595463137995,1989.0,30.0,외야수,8,6년차 이상,0.0181818181818181,안타형,0.9781009651668936,0.2792413432954378,97,안정
19,구자욱,2015,삼성,0.349,116,410,97,143,33,5,11,219,57,17,7,45,6,79,3,0.534,0.417,13,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.951,189.0,75.0,20.99605274208449,1993.0,23.0,외야수,4,5년차 이하,0.0268292682926829,안타형,0.8315209912572443,0.2860214956231461,113,매우 안정
19,구자욱,2016,삼성,0.343,108,428,105,147,19,13,14,234,77,10,5,55,5,68,4,0.547,0.42,7,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.967,189.0,75.0,20.99605274208449,1993.0,24.0,외야수,4,5년차 이하,0.0327102803738317,장타형,0.6906393375132348,0.2358618601723439,108,매우 안정
